id,long,lat,voltage
350,337864.81686788116,701163.1279808808,132.0
350,328768.83127849095,695326.9531178391,132.0
351,337864.81686788116,701163.1279808808,132.0
351,319616.3879905178,697437.3813100467,132.0
352,295287.0719469262,685477.2161270356,275.0
352,319677.77517294954,691101.4678408946,275.0
353,295287.0719469262,685477.2161270356,275.0
353,319616.3879905178,697437.3813100467,275.0
354,229804.18816555908,608629.7536946379,132.0
354,241454.44835417788,613505.8019916718,132.0
355,319677.77517294954,691101.4678408946,132.0
355,319677.77517294954,691101.4678408946,132.0
356,319677.77517294954,691101.4678408946,275.0
356,319616.3879905178,697437.3813100467,275.0
357,278802.66487260046,660367.9730376843,275.0
357,279119.3970942431,653955.9244445316,275.0
358,259632.22651864932,611569.7199070827,132.0
358,259632.22649669406,611569.7196602856,132.0
359,245036.1441654125,659940.0313582668,132.0
359,249136.22451319726,663282.108247337,132.0
360,245036.1441654125,659940.0313582668,275.0
360,251693.81172268523,673141.2488745346,275.0
361,330003.97101714474,673821.2359751839,275.0
361,326132.4077859978,675333.0491692494,275.0
362,330003.97101714474,673821.2359751839,275.0
362,335462.3075754799,668782.4225535154,275.0
363,259082.87446535568,666734.0621749449,275.0
363,258400.3107014111,665586.8108438876,275.0
364,328768.83127849095,695326.9531178391,132.0
364,319616.3879905178,697437.3813100467,132.0
365,335462.3075754799,668782.4225535154,400.0
365,269539.9123970036,652985.7944030291,400.0
366,335462.3075754799,668782.4225535154,400.0
366,373881.7860960922,673190.3559767432,400.0
367,335462.3075754799,668782.4225535154,400.0
367,279119.3970942431,653955.9244445316,400.0
368,269539.9123970036,652985.7944030291,400.0
368,279119.3970942431,653955.9244445316,400.0
369,281050.926419406,693090.5866847006,132.0
369,319616.3879905178,697437.3813100467,132.0
370,239227.9236764333,675648.7636272812,132.0
370,251693.81172268523,673141.2488745346,132.0
371,319133.67952597095,698192.4080073471,275.0
371,319616.3879905178,697437.3813100467,275.0
372,223265.96429851573,692068.7560575148,132.0
372,223348.4538959267,692176.4875897338,132.0
373,277200.13688128314,64999.5608485828,400.0
373,301134.0938149921,97431.77274720758,400.0
374,277200.13688128314,64999.5608485828,400.0
374,257093.7088894215,56100.954580686026,400.0
375,302500.140744223,166099.8355851685,275.0
375,302398.6960201551,177381.05609083705,275.0
376,302500.140744223,166099.8355851685,275.0
376,283045.4050956855,183258.76719546685,275.0
377,302500.140744223,166099.8355851685,275.0
377,321599.69402508077,176500.07092031947,275.0
378,302500.140744223,166099.8355851685,275.0
378,310008.2315809424,186949.03049836558,275.0
379,445172.455415981,394545.25080522854,275.0
379,443180.1401756607,389600.56640737,275.0
380,445172.455415981,394545.25080522854,275.0
380,441430.1339053013,400754.07322342583,275.0
381,250201.8225985781,125174.68530834734,400.0
381,194016.53731658476,59131.17590742221,400.0
382,250201.8225985781,125174.68530834734,400.0
382,319200.074131969,124800.2540317789,400.0
383,493120.09214804287,197102.95928420778,400.0
383,475299.7538914609,225899.50112241064,400.0
384,493120.09214804287,197102.95928420778,400.0
384,504311.4451681185,183731.6135011688,400.0
385,334961.46948066994,98977.03718193134,400.0
385,365647.3062717991,80590.6884086529,400.0
386,334961.46948066994,98977.03718193134,400.0
386,301134.0938149921,97431.77274720758,400.0
387,273227.22947713925,192588.31168895942,275.0
387,278507.7458980094,186389.91920055635,275.0
388,273227.22947713925,192588.31168895942,275.0
388,264623.8145861962,200082.76635340654,275.0
389,546906.2017831481,182564.9355988573,275.0
389,541628.063452004,189726.66852686787,275.0
390,546906.2017831481,182564.9355988573,400.0
390,558825.2085121005,179475.43545384554,400.0
391,546906.2017831481,182564.9355988573,400.0
391,538993.7478335521,181994.0472176032,400.0
392,546906.2017831481,182564.9355988573,400.0
392,559056.6149724844,177072.13434581656,400.0
393,530535.9841526906,165437.70908530726,275.0
393,516925.90814970864,161900.36190005403,275.0
394,530535.9841526906,165437.70908530726,275.0
394,526016.9970256609,171773.0000427856,275.0
395,530535.9841526906,165437.70908530726,400.0
395,539109.2294694411,163323.10580616514,400.0
396,426300.2960937422,276499.6899242305,275.0
396,436539.9764480384,284362.65892368415,275.0
397,426300.2960937422,276499.6899242305,275.0
397,402000.1746433509,261599.82055866648,275.0
398,426300.2960937422,276499.6899242305,275.0
398,398099.74186256743,293799.7962391032,275.0
399,519661.66528615495,338546.8852603824,400.0
399,525992.4880543117,324876.51731406536,400.0
400,519661.66528615495,338546.8852603824,400.0
400,548591.1315732251,316534.88065996894,400.0
401,519661.66528615495,338546.8852603824,400.0
401,479467.627857733,385528.51922312664,400.0
402,329380.8303933774,385985.5830292911,275.0
402,336803.6164693039,374976.7617537873,275.0
403,329380.8303933774,385985.5830292911,275.0
403,338692.25975262455,391746.31445729913,275.0
404,383619.2854239011,268248.6351475089,275.0
404,402000.1746433509,261599.82055866648,275.0
405,383619.2854239011,268248.6351475089,275.0
405,399194.29800809454,281523.31119308644,275.0
406,383619.2854239011,268248.6351475089,275.0
406,385900.07815819484,295399.58957468404,275.0
407,429994.7598163845,583071.978688529,275.0
407,416512.1439499292,564803.6422803834,275.0
408,429994.7598163845,583071.978688529,275.0
408,432099.372480949,570023.9434031948,275.0
409,429994.7598163845,583071.978688529,400.0
409,412651.01873996534,568867.3495571642,400.0
410,301624.2988772817,373566.13472157257,400.0
410,302113.3586532792,373426.96980407706,400.0
411,524011.89098133706,120992.21109796246,400.0
411,467499.78370471275,113499.55811115299,400.0
412,524011.89098133706,120992.21109796246,400.0
412,572399.6793741212,111900.50365048784,400.0
413,454114.47708239313,109731.82583238129,400.0
413,450526.5376799767,104558.72330189386,400.0
414,454114.47708239313,109731.82583238129,400.0
414,467499.78370471275,113499.55811115299,400.0
415,577491.0599791443,221617.3820201616,400.0
415,609945.7634340652,246063.88283949863,400.0
416,577491.0599791443,221617.3820201616,400.0
416,574511.1848918214,210357.4248459426,400.0
417,577491.0599791443,221617.3820201616,400.0
417,545800.3500901089,228399.4585215596,400.0
418,577491.0599791443,221617.3820201616,400.0
418,579945.5569666638,190826.92514082417,400.0
419,409034.59117609967,434909.7347259958,275.0
419,411759.01236999955,422000.8133329938,275.0
420,409034.59117609967,434909.7347259958,275.0
420,426648.06807181274,434468.0525522765,275.0
421,409034.59117609967,434909.7347259958,275.0
421,448408.391654206,429233.40543906484,275.0
422,409034.59117609967,434909.7347259958,400.0
